 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1599.691,114.670,6.891,93,133,146.937,115
2,1100.309,144.117,14.041,109,210,126.860,142
3,903.704,151.999,17.416,113,225,112.084,151
4,1982.099,179.478,25.171,102,247,173.940,179
5,990.432,153.915,16.010,113,215,119.096,153
6,1442.593,157.939,21.474,102,240,151.201,156
7,1492.593,129.301,15.580,83,223,152.499,127
8,1844.136,179.957,24.797,102,250,170.922,180
9,2036.728,136.329,18.670,95,210,174.333,137
10,995.679,119.381,14.098,81,176,138.969,120
11,806.173,156.627,25.585,104,247,109.306,152
12,740.432,147.894,15.742,116,225,101.633,147
13,1000.617,164.320,18.253,119,240,119.515,161
14,1681.790,117.380,12.590,92,233,163.008,115
15,1091.358,173.756,26.717,92,245,122.610,175
