 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1501.235,103.440,10.786,70,149,148.612,103
2,1470.062,122.350,30.209,63,232,149.854,116
3,1511.728,142.275,26.605,70,231,146.369,143
4,1549.074,127.189,20.793,78,246,147.118,126
5,1559.259,153.489,20.104,107,234,151.391,152
6,1123.457,134.126,20.156,77,227,137.009,136
7,1564.815,121.233,29.869,63,232,151.825,114
8,1268.827,113.595,17.750,67,193,149.269,115
9,1387.654,134.421,26.072,77,233,147.505,131
10,1103.395,135.222,21.553,79,229,125.172,136
11,1329.012,134.028,29.369,65,236,139.784,132
12,1480.864,142.355,26.386,70,231,146.565,143
13,1328.704,103.932,10.444,70,149,141.263,104
14,1681.790,118.013,31.000,58,232,155.324,112
15,1095.679,98.241,9.681,75,151,123.025,97
16,1842.284,127.116,32.553,72,210,166.711,130
