 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,333.498,111.216,8.487,90,130,74.338,111
2,699.686,85.156,5.488,68,98,99.101,86
3,844.973,90.015,7.766,67,104,113.389,91
4,1200.594,88.654,6.473,69,106,130.821,89
5,848.605,104.938,6.772,89,129,110.822,104
6,952.287,159.929,16.793,117,196,117.766,159
7,760.773,165.325,11.985,120,191,108.938,168
8,929.173,182.543,12.453,129,218,117.365,182
9,790.821,163.080,12.343,120,193,105.028,162
10,1378.570,168.389,17.637,114,207,142.112,168
11,650.157,185.637,12.114,131,212,93.369,185
12,844.312,176.759,10.548,134,202,109.990,178
13,454.350,147.634,7.967,109,168,83.382,148
14,1364.042,169.173,17.357,115,207,139.571,169
15,450.718,147.680,7.910,109,168,85.827,148
16,823.840,138.418,5.528,109,156,104.850,139
17,617.137,168.112,9.013,120,186,91.067,169
18,1149.084,137.507,8.866,115,160,127.852,138
19,672.280,127.814,6.775,112,146,95.217,127
20,921.248,124.485,4.999,103,139,113.040,125
21,949.975,190.426,9.978,140,213,120.398,191
22,514.116,144.571,8.352,116,164,88.130,146
23,497.936,166.018,10.220,136,186,88.294,167
24,939.409,140.411,10.310,110,161,116.994,142
25,712.894,132.856,6.706,115,150,98.224,133
26,572.891,125.766,7.304,105,145,89.425,127
27,592.042,138.800,8.815,113,172,93.698,138
28,1231.963,176.419,10.742,138,199,139.185,178
29,1010.401,153.240,10.029,123,179,118.929,154
30,499.257,145.544,9.342,119,170,83.787,146
