 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,12249.985,118.420,16.995,54,227,504.828,120
2,17126.993,114.256,18.306,50,232,630.012,114
3,19805.063,105.951,23.045,53,226,712.468,104
4,9421.458,122.801,20.210,54,233,405.284,124
5,11848.767,111.689,17.119,48,223,499.564,112
6,15780.644,112.639,16.838,59,216,685.559,114
7,12460.744,126.604,18.322,52,215,601.490,130
8,15760.045,128.773,18.049,57,220,685.740,131
9,13267.359,120.517,14.591,61,198,619.980,121
10,10662.428,118.182,11.571,66,195,480.151,119
11,23421.995,116.385,13.862,61,200,868.575,117
12,7523.733,129.086,19.559,61,213,391.013,131
13,15025.673,137.761,17.886,65,234,598.364,140
14,16389.934,138.733,19.023,71,215,605.709,141
15,5901.546,131.465,15.500,72,218,339.445,133
16,13073.915,134.126,14.001,63,201,564.436,136
17,15269.867,130.190,13.211,71,207,628.996,131
18,15716.162,128.344,12.298,68,189,574.503,128
19,14650.427,134.074,13.723,63,201,583.567,136
20,15919.756,130.923,14.414,60,211,690.408,133
21,11894.441,129.706,12.033,65,207,487.106,131
22,21720.998,103.080,15.621,58,177,798.232,100
23,7770.315,125.323,13.231,62,205,432.589,127
24,7011.463,140.715,11.667,77,201,398.382,142
25,9758.493,139.786,15.626,67,225,418.996,141
26,15353.155,144.183,9.905,81,209,693.922,145
27,9337.871,138.687,9.643,97,214,435.750,139
28,13854.857,139.399,10.238,96,214,651.541,139
29,11500.985,112.264,16.925,47,201,543.802,114
30,10734.074,119.944,15.058,49,187,585.263,122
31,19500.269,121.468,13.819,43,190,808.451,124
32,9365.335,116.074,14.225,47,196,524.111,116
33,17973.312,94.202,13.734,43,154,701.546,95
34,13411.248,66.567,8.320,35,95,677.873,68
35,9846.857,101.045,22.054,35,161,563.532,105
36,12764.046,112.824,13.004,50,169,606.821,115
37,17531.196,106.127,18.584,25,195,728.632,109
