 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,588.850,103.975,9.687,74,136,91.209,102
2,946.281,132.736,20.963,63,170,115.626,139
3,524.053,146.601,8.653,126,167,86.145,147
4,413.867,153.465,9.198,126,173,80.255,153
5,871.032,84.916,6.806,64,106,112.929,86
6,413.569,97.986,7.856,72,114,75.198,99
7,407.895,87.367,6.748,72,107,75.560,87
8,639.613,82.407,5.780,58,98,104.204,83
9,756.368,77.637,12.109,41,106,109.003,80
10,500.761,69.634,14.057,40,100,83.410,69
11,854.012,84.456,12.139,51,119,108.119,83
12,697.841,113.316,9.728,66,133,98.790,115
13,696.348,72.701,12.854,32,94,102.704,75
14,495.088,80.844,7.624,56,98,87.553,81
15,448.505,83.967,8.447,63,104,81.177,83
16,517.782,106.476,10.644,67,131,94.921,107
17,462.241,114.467,9.210,78,131,82.218,116
18,536.296,119.870,10.126,89,142,98.257,120
19,794.589,85.569,12.237,51,119,106.691,83
20,608.558,76.571,7.248,56,97,93.901,77
21,763.833,81.568,6.278,58,98,109.179,82
22,1176.804,70.741,8.301,48,98,127.947,71
23,409.090,115.358,8.716,78,131,79.218,117
24,473.887,84.384,9.162,59,104,84.642,86
25,687.688,76.848,12.345,41,106,104.109,80
26,627.669,105.401,12.639,48,126,95.668,109
27,575.413,102.445,21.111,38,132,91.675,108
28,317.716,111.253,16.129,60,140,67.008,114
29,384.903,90.825,7.559,59,106,74.501,92
30,534.205,86.121,10.690,51,108,89.916,87
