 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1485.802,112.212,14.128,82,163,145.759,112
2,1712.346,116.031,27.712,73,236,155.299,110
3,3251.235,135.880,21.577,80,225,221.727,134
4,1426.852,118.966,14.049,84,199,147.091,117
5,2429.012,112.845,16.077,77,178,198.839,112
6,1287.654,113.256,12.618,79,154,136.070,113
7,2331.481,126.532,23.129,77,227,200.360,123
8,3072.531,157.826,23.734,90,255,209.848,158
9,1646.914,132.979,24.578,84,228,149.042,130
10,1634.259,104.007,11.402,72,144,148.354,105
11,2585.494,93.352,12.310,62,146,186.025,92
