 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,521.050,148.827,11.037,111,177,93.652,148
2,926.201,155.881,10.521,115,179,116.072,156
3,529.965,155.107,10.484,127,175,90.862,156
4,568.598,148.401,11.090,111,177,96.796,148
5,988.278,139.642,10.751,111,160,124.994,140
6,637.279,120.657,5.581,104,134,101.005,121
7,851.907,133.644,10.449,111,156,116.160,131
8,1155.688,127.575,11.821,101,157,133.107,126
9,689.450,134.908,10.709,104,159,99.574,135
10,766.386,145.480,8.670,108,167,105.206,146
11,662.704,153.468,9.899,118,171,107.991,155
12,328.215,153.378,7.361,128,171,73.589,154
13,633.317,101.990,8.627,85,131,100.069,101
14,516.097,118.551,7.338,96,133,88.518,119
15,779.594,96.896,10.374,75,122,103.541,96
16,905.069,112.254,9.944,87,140,120.130,112
17,919.927,118.079,9.967,91,139,123.599,119
18,943.371,127.924,7.927,101,146,127.011,128
19,607.231,125.590,10.021,97,149,92.030,126
20,598.976,138.812,8.883,108,160,97.001,139
21,483.738,136.818,9.278,114,158,86.233,138
22,520.720,126.513,10.091,99,149,89.224,127
23,616.147,144.182,7.423,122,162,93.554,145
24,763.084,155.607,7.582,128,170,107.969,157
25,970.447,110.152,7.356,89,128,120.234,110
26,864.124,125.373,7.939,91,140,116.698,127
27,517.088,119.916,4.172,104,129,86.140,120
28,594.684,121.229,5.211,104,133,91.154,122
29,469.870,138.061,6.782,117,154,84.804,139
30,370.811,176.563,7.414,156,196,74.494,176
