 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,272.910,152.767,16.584,103,196,66.333,153
2,420.058,146.758,16.368,102,217,83.146,146
3,239.395,135.660,14.767,105,193,59.209,134
4,424.208,135.166,16.560,89,195,75.932,135
5,245.140,129.232,14.023,89,166,60.346,129
6,374.094,155.341,24.795,101,237,73.759,156
7,454.531,146.170,20.824,98,212,79.497,146
8,453.573,134.164,19.905,92,194,79.205,131
9,227.904,135.556,20.004,102,209,58.769,136
10,245.140,131.207,17.354,97,199,59.191,129
11,105.015,126.957,17.501,78,166,41.235,129
12,171.726,135.242,15.875,95,188,53.192,136
13,479.428,135.806,18.705,95,188,82.965,134
14,324.300,147.567,18.187,102,206,69.395,148
15,317.597,141.534,14.081,96,181,71.704,143
16,328.130,131.572,17.436,95,205,69.600,130
17,363.561,139.403,17.458,101,203,74.439,139
18,344.409,151.251,20.426,103,220,71.945,152
19,117.463,152.788,24.326,103,215,45.442,154
20,222.797,128.977,14.562,90,177,61.196,129
21,491.557,148.147,16.391,97,211,86.580,148
22,350.155,137.201,16.502,104,206,76.937,136
23,419.739,139.468,18.486,101,194,84.633,137
24,238.437,125.084,19.473,92,191,64.317,121
25,255.035,135.660,22.378,85,213,64.275,139
26,376.648,139.168,23.961,94,221,78.440,138
27,359.731,129.302,13.084,93,175,71.808,129
28,384.308,134.011,17.950,91,180,74.187,134
29,265.249,132.710,23.608,87,217,63.152,129
30,248.651,142.873,9.281,116,164,60.051,143
