 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1072.148,131.723,7.191,102,156,133.815,131
2,1027.241,128.752,5.931,103,146,126.155,129
3,885.587,121.157,4.328,105,131,114.991,122
4,745.914,136.696,5.072,117,147,121.629,137
5,513.125,145.902,8.292,105,163,88.524,146
6,918.276,135.005,10.204,104,158,116.425,136
7,907.710,138.512,7.399,114,158,131.145,138
8,782.235,135.748,8.811,113,157,123.541,135
9,458.313,130.160,4.246,118,142,83.608,130
10,1019.647,123.902,5.204,109,139,119.370,124
11,683.176,128.261,4.088,114,140,115.836,129
12,556.381,139.506,4.461,122,154,93.764,139
13,894.502,111.075,4.178,99,124,126.044,111
14,396.566,120.522,7.128,101,140,84.499,121
15,958.560,136.695,7.171,117,157,127.959,137
16,812.614,130.614,5.016,117,144,118.363,131
17,733.697,140.211,10.085,114,171,119.097,139
18,613.505,125.544,5.385,109,137,92.286,127
19,742.612,132.797,6.426,112,147,111.198,134
20,384.018,134.376,5.631,117,147,77.773,135
21,421.661,129.604,4.637,116,140,84.411,130
22,500.578,139.458,4.423,123,151,85.196,140
23,861.813,139.013,6.981,116,158,125.969,138
24,545.154,131.232,5.460,116,144,94.401,132
25,872.049,127.834,4.723,111,140,125.109,128
26,401.189,176.248,7.953,151,192,91.802,177
27,558.692,172.902,7.335,149,194,90.863,173
28,624.071,167.540,9.048,141,188,95.566,167
29,848.605,159.232,8.426,137,180,119.421,158
30,430.576,148.232,6.114,117,163,86.276,148
