 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,3007.475,131.644,16.139,83,190,218.395,132
2,3099.577,69.144,15.019,33,139,217.766,67
3,2476.414,135.517,18.311,70,196,207.074,137
4,2127.320,125.533,18.202,64,180,181.276,127
5,3085.020,131.024,16.498,81,190,226.457,132
6,1882.646,87.875,11.456,51,142,184.170,87
7,2741.245,136.998,12.806,86,185,209.082,138
8,3144.089,130.114,10.255,96,182,241.643,130
9,2521.206,135.698,13.285,91,186,216.324,136
10,1910.081,155.031,17.773,99,231,185.183,158
11,2251.617,127.282,10.091,95,158,198.832,127
12,2211.584,153.738,16.569,89,218,199.022,155
13,3360.488,72.070,16.931,32,153,228.785,70
14,1241.847,100.996,17.806,49,182,135.833,103
15,2110.243,129.300,16.395,76,194,183.904,129
16,2533.804,125.150,20.854,53,223,215.686,125
17,1705.159,126.680,16.724,74,200,176.770,126
18,2748.243,132.484,13.690,74,187,222.449,132
19,2350.158,145.251,16.766,79,196,183.809,148
20,2695.893,126.444,16.870,76,187,202.671,128
21,2098.485,137.359,15.050,70,191,172.010,138
22,3411.439,129.923,14.855,81,205,216.545,130
23,2597.912,138.319,13.489,90,190,194.215,139
24,3013.353,131.415,17.661,75,191,227.275,132
25,2526.525,124.954,14.189,63,203,188.780,125
26,4050.838,120.238,12.677,64,198,239.059,121
27,2410.907,111.335,13.920,61,162,197.324,112
28,2644.943,127.401,16.402,46,203,196.503,128
29,3557.291,114.912,15.107,47,167,229.387,117
30,2896.056,121.057,17.883,45,188,200.859,123
31,2798.914,135.799,14.987,90,184,200.504,137
32,2765.600,125.798,14.662,73,179,200.076,127
33,3769.211,131.330,14.157,86,200,243.313,131
34,2745.444,125.604,11.960,82,173,201.015,126
35,3884.550,130.275,10.910,95,182,248.542,130
36,2074.410,116.112,15.001,68,168,175.470,117
