 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,601.679,98.114,11.824,67,131,91.798,99
2,401.545,88.817,9.935,64,126,76.138,88
3,558.269,83.571,12.487,55,131,88.001,83
4,631.364,97.483,12.099,65,131,94.833,98
5,571.356,114.803,15.886,82,175,88.200,113
6,424.846,86.204,8.654,61,115,83.410,86
7,495.388,83.506,6.143,68,105,81.369,83
8,445.594,87.611,7.050,68,114,83.932,87
9,424.846,82.823,6.246,68,107,76.092,83
10,410.801,98.887,12.830,67,137,81.100,98
11,256.312,95.481,13.754,62,153,64.324,95
12,406.014,99.044,13.697,67,151,78.326,98
13,476.555,94.185,13.677,63,139,84.287,93
14,436.656,111.126,15.220,74,164,79.915,111
15,488.685,96.068,16.825,67,165,83.536,94
16,307.383,112.490,23.128,62,215,67.816,110
17,385.904,106.986,20.304,67,180,74.334,103
18,342.175,118.329,19.570,73,176,71.081,119
19,395.161,100.822,13.928,65,149,77.399,100
20,361.646,112.145,18.167,64,174,72.715,111
21,471.448,107.921,18.231,64,173,84.638,108
22,331.003,110.008,14.020,76,164,69.837,109
23,483.578,108.537,18.381,63,173,83.140,106
24,348.878,100.736,20.311,61,187,73.763,100
25,198.219,107.723,19.152,71,181,53.667,104
