 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,570.337,133.419,8.464,108,150,99.070,134
2,509.720,160.664,11.143,111,181,85.581,162
3,434.770,124.790,24.398,57,163,84.271,133
4,650.064,114.418,11.669,82,147,100.916,115
5,687.987,106.588,18.694,56,147,101.434,105
6,413.569,97.409,11.214,65,122,83.471,98
7,582.281,164.039,7.257,133,177,98.483,166
8,592.433,161.523,11.759,132,184,98.639,162
9,452.985,138.846,16.242,73,168,80.149,138
10,478.963,141.762,8.520,114,162,87.806,141
11,513.601,120.170,10.237,94,145,84.833,120
12,547.643,130.499,9.244,101,152,88.935,131
13,394.458,107.176,6.355,87,126,79.558,107
14,457.762,130.412,7.422,95,146,83.841,131
15,384.007,125.205,7.920,103,143,75.510,125
16,269.342,116.435,12.610,88,138,70.078,119
17,432.978,133.829,4.630,117,145,81.629,135
18,695.751,121.798,9.475,98,143,98.897,123
19,320.404,118.780,11.258,86,143,70.034,120
20,369.674,128.389,9.481,104,150,71.414,129
21,448.207,135.675,11.228,86,157,85.096,138
22,444.026,130.521,8.155,95,146,80.646,132
23,308.459,140.497,5.161,125,152,66.679,142
24,455.373,158.340,8.229,136,176,84.949,160
25,486.130,141.634,6.184,118,158,83.192,142
26,387.889,145.580,9.213,120,167,81.102,145
27,601.690,152.524,14.610,92,176,95.397,155
28,546.747,101.058,18.569,52,134,88.011,106
29,642.002,143.043,8.076,100,161,98.781,144
30,308.161,161.239,6.714,130,174,67.160,162
