 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1075.042,86.961,6.451,68,108,121.540,87
2,1292.094,91.989,7.932,62,117,136.085,92
3,683.712,84.445,8.084,62,109,101.921,85
4,1360.401,84.419,6.041,64,106,138.462,84
5,1142.073,95.312,10.036,61,135,134.253,96
6,1351.783,89.714,9.120,64,114,137.076,90
7,1377.957,98.238,10.845,70,137,134.939,98
8,876.823,102.734,8.719,81,128,114.677,103
9,1036.101,113.305,9.310,85,141,121.741,112
10,1611.925,105.670,8.491,77,136,146.720,105
11,875.227,103.272,8.688,81,131,117.196,104
12,702.863,105.450,8.186,79,128,101.493,106
13,1373.169,92.472,10.055,69,126,138.164,91
14,963.325,106.237,14.043,73,153,115.309,106
15,1617.351,123.990,14.888,85,186,151.454,124
16,1125.156,88.408,6.503,70,108,126.996,88
17,689.457,95.841,8.232,71,123,100.418,96
18,585.400,110.176,10.358,75,139,91.391,110
19,810.112,101.106,10.337,74,132,115.351,102
20,635.833,100.969,8.755,75,125,100.482,102
21,1485.844,102.487,9.107,73,136,147.562,103
22,1596.923,93.191,8.234,65,130,159.238,93
23,880.335,89.179,8.850,66,118,109.077,90
24,519.327,92.734,11.570,66,126,87.271,93
25,691.053,90.706,8.396,66,121,100.079,90
