 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,21865.783,141.478,17.124,71,215,777.993,143
2,22787.331,125.101,21.026,71,232,787.821,123
3,15746.015,134.629,16.858,76,211,700.364,134
4,17740.761,135.269,15.813,70,184,678.161,136
5,20263.299,133.386,16.596,69,229,738.608,134
6,9854.917,127.168,18.436,79,188,439.524,128
7,20618.544,124.626,20.076,71,200,729.853,125
8,10046.271,145.229,18.042,78,228,453.299,146
9,18736.641,128.451,14.533,78,195,730.312,129
10,12014.150,142.802,16.336,84,221,507.416,144
11,12967.938,111.567,22.276,34,202,531.905,112
12,14540.271,104.655,19.941,41,190,638.304,104
13,17185.802,115.316,23.947,39,205,677.343,115
14,16444.564,116.659,21.681,33,199,746.151,117
15,11067.825,104.017,22.973,30,189,537.905,104
16,18370.052,119.513,27.177,33,225,732.074,121
17,19415.487,129.614,23.938,37,221,684.411,130
18,25337.334,117.255,25.311,41,229,829.135,118
19,8732.760,116.389,24.439,43,203,507.026,118
20,16645.173,118.288,23.549,34,200,628.107,121
21,12346.409,116.038,22.498,38,214,621.770,117
22,22921.965,113.132,29.243,30,229,805.097,114
23,10774.375,110.882,22.186,33,195,458.438,112
24,10271.061,84.519,15.915,33,176,509.533,84
25,21478.596,101.726,22.019,31,219,799.025,101
26,10132.545,121.800,22.920,42,215,478.798,122
27,4446.236,127.709,19.173,53,214,355.402,127
28,9864.470,113.334,22.267,34,222,534.133,114
29,9886.859,102.590,21.291,28,187,508.485,104
30,14168.010,125.624,23.349,59,218,550.263,126
31,12119.530,111.578,17.559,59,215,526.269,112
32,10856.768,92.894,11.133,54,164,512.191,93
33,12705.833,99.285,12.807,63,191,505.611,99
34,9142.038,100.560,14.188,55,194,438.934,100
35,10479.432,117.799,21.248,61,225,461.188,117
36,8886.501,139.522,25.206,65,245,426.349,141
37,9001.134,136.890,23.511,59,254,441.508,138
38,12839.274,101.109,15.263,48,162,607.153,102
39,8849.782,94.883,22.134,32,195,442.314,95
40,12966.744,79.678,14.732,23,135,536.088,80
41,13555.735,76.945,14.315,34,176,565.190,75
42,8382.291,79.009,15.789,24,153,424.529,79
43,15199.116,84.447,16.127,31,141,625.877,86
44,9409.816,109.130,23.136,38,225,508.119,110
45,10098.513,102.821,22.011,36,242,433.601,102
