 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,529.541,121.837,12.346,94,169,94.413,120
2,304.191,120.643,12.281,92,170,66.690,120
3,196.623,122.266,12.853,91,152,53.651,122
4,369.306,129.748,12.692,99,172,73.183,129
5,937.151,114.862,8.578,94,141,116.656,114
6,741.805,115.809,8.343,91,143,110.203,116
7,759.360,114.198,10.583,87,159,108.249,113
8,605.509,105.051,6.470,88,130,91.071,105
9,278.656,110.225,7.388,92,138,65.551,109
10,422.292,120.446,10.293,93,153,78.995,120
11,901.082,112.527,9.976,83,157,110.988,112
12,248.013,116.593,13.770,91,167,61.188,116
13,272.591,122.411,13.016,89,172,67.655,123
14,250.886,124.860,12.014,91,157,63.171,125
15,140.445,125.680,13.080,88,156,44.290,128
16,248.971,130.499,15.669,95,169,61.026,129
17,354.943,135.637,16.383,95,184,72.608,137
18,110.122,138.583,20.387,101,195,44.561,140
19,237.799,122.507,11.995,97,161,58.830,120
20,190.877,127.625,12.754,102,168,53.921,127
21,282.167,129.291,14.052,98,168,61.945,129
22,185.132,128.474,17.527,90,181,55.830,127
23,180.663,124.007,17.195,91,200,56.626,123
24,181.621,141.295,18.214,99,186,54.031,143
25,228.223,125.764,12.802,86,154,63.009,127
26,289.508,128.337,12.877,93,162,62.292,130
27,339.621,125.502,12.165,98,159,71.351,125
28,206.837,126.372,14.548,91,172,55.445,127
29,260.462,128.491,13.724,95,180,61.210,128
30,219.286,138.662,17.564,101,191,55.905,136
