 ,Area,Mean,Min,Max
1,139.83,112.79,4,255
2,221.21,113.87,0,255
3,240.60,118.08,0,255
4,148.19,118.66,14,255
5,336.74,118.02,0,255
6,213.58,123.11,0,255
7,174.35,114.16,0,255
8,159.66,117.78,0,255
9,152.18,123.30,0,255
10,148.19,128.37,0,255
11,137.51,134.56,3,255
12,154.17,116.45,0,255
13,162.80,114.69,0,255
14,149.00,121.49,0,255
15,147.65,129.91,0,255
16,281.53,125.18,0,255
17,231.88,123.63,0,255
18,194.73,118.67,0,255
19,203.26,112.37,0,255
20,187.15,113.52,0,255
21,223.86,111.57,0,255
22,220.47,116.01,0,255
23,301.39,118.07,0,255
24,362.06,111.35,0,255
25,221.86,113.86,0,255
26,317.31,109.58,0,255
27,243.33,122.05,4,255
28,175.76,119.96,2,255
29,173.08,111.92,0,255
30,201.39,117.16,7,255
