 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,454.531,132.152,13.351,97,183,83.385,132
2,641.578,124.684,11.234,97,173,98.005,124
3,417.824,142.343,16.952,107,203,77.044,141
4,410.482,137.914,10.173,113,184,77.127,137
5,346.005,147.442,18.613,108,199,73.809,142
6,526.030,137.170,15.422,95,196,94.496,136
7,455.169,140.126,14.213,105,197,79.382,139
8,327.811,138.319,14.441,106,184,71.190,138
9,333.557,143.471,15.393,108,208,74.238,143
10,239.714,147.052,18.189,104,197,57.330,145
11,343.452,145.301,17.420,107,204,71.394,142
12,367.710,147.075,16.184,107,217,74.134,145
13,457.723,152.612,16.341,117,205,79.749,150
14,453.254,136.641,10.045,108,168,79.997,136
15,690.734,133.856,10.796,100,183,99.258,133
16,555.396,132.755,18.420,89,196,90.505,131
17,566.568,142.345,17.351,103,197,91.985,141
18,476.874,131.114,14.127,97,183,92.085,130
19,458.361,145.668,15.922,110,207,80.983,145
20,358.135,136.741,12.106,100,183,73.906,137
21,431.868,130.939,13.277,101,172,79.121,129
22,520.923,140.683,14.974,103,188,86.098,141
23,338.983,141.510,11.095,111,181,67.487,142
24,258.227,143.513,14.706,110,199,61.478,142
25,655.942,121.400,11.731,88,175,96.562,121
