 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1455.201,102.694,19.664,59,179,140.923,98
2,784.577,122.105,19.724,68,177,113.504,124
3,943.216,99.317,15.981,53,156,113.519,100
4,1080.149,85.940,11.774,49,127,128.026,87
5,1146.222,80.711,10.810,50,131,129.558,81
6,1077.596,97.738,15.284,52,166,124.886,98
7,1459.351,92.404,16.683,45,167,146.065,92
8,992.052,105.503,16.242,62,179,118.830,104
9,1000.670,115.079,13.811,71,164,118.632,115
10,1404.769,83.544,10.457,53,114,139.420,84
11,864.056,73.243,9.031,44,118,115.656,73
12,1109.834,95.817,12.942,55,166,128.406,96
13,1117.176,96.889,14.353,53,135,126.540,97
14,1445.306,78.855,14.509,41,128,140.880,78
15,817.134,119.593,22.090,71,193,105.694,118
16,1079.830,103.970,15.684,63,177,120.762,102
17,444.317,117.274,18.236,71,182,82.143,119
18,1290.498,110.562,17.169,71,168,137.630,110
19,781.065,84.280,10.294,54,132,105.355,85
20,458.361,116.655,18.638,66,179,85.830,118
21,996.202,109.637,19.662,62,202,119.538,108
22,628.172,96.115,16.297,60,145,95.017,96
23,803.409,103.275,13.548,66,147,111.193,103
24,1410.833,104.553,19.520,51,187,144.471,103
25,697.756,89.873,11.836,61,129,101.040,90
