 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,9923.279,122.662,6.211,66,152,504.338,123
2,4493.104,122.877,8.513,77,156,337.931,123
3,5051.048,126.584,6.719,54,154,384.978,126
4,4630.127,113.262,5.070,63,135,307.099,113
5,8007.941,117.221,9.668,74,154,434.824,119
6,3652.755,115.291,7.534,63,147,287.717,116
7,7567.915,116.255,6.016,81,139,449.079,117
8,4831.035,125.049,5.992,93,152,406.486,126
9,4712.222,125.068,5.031,87,146,377.402,125
10,2703.744,120.906,8.257,82,153,301.834,122
11,6944.594,120.553,6.915,67,154,476.172,121
12,4690.728,124.777,6.056,93,152,402.599,126
13,5196.728,148.408,7.026,109,181,374.703,149
14,4682.369,149.013,7.160,108,186,388.332,149
15,6467.252,152.007,5.213,114,177,515.676,152
16,3767.688,153.571,6.174,112,184,343.488,154
17,7664.637,149.106,7.172,61,177,499.484,149
18,4668.637,148.150,7.556,115,189,342.151,149
19,4739.686,146.645,5.801,95,172,376.118,147
20,6124.843,146.114,8.763,107,178,410.445,147
21,6822.497,152.007,6.403,74,176,407.970,153
22,5301.809,151.999,8.071,88,182,386.853,153
23,7126.993,150.885,6.450,114,181,421.766,151
24,4102.334,132.182,13.297,72,192,328.838,132
25,6128.127,128.110,11.543,82,185,459.059,128
26,5122.992,118.317,12.561,74,174,406.214,118
27,10567.198,152.386,11.252,88,210,617.757,153
28,6304.854,157.071,11.071,94,195,445.252,158
29,7359.842,159.699,12.643,94,207,515.187,160
30,6161.860,151.795,13.300,81,204,413.431,153
31,8393.934,157.596,15.429,56,214,453.008,159
32,10031.345,152.170,11.164,78,234,549.807,152
33,7125.500,151.005,12.927,86,217,390.883,152
34,8927.996,153.111,11.643,105,237,449.480,153
35,9129.202,158.212,12.096,106,211,572.876,159
