 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,603.594,129.394,12.760,96,179,92.925,129
2,428.357,127.243,13.121,95,166,81.727,127
3,687.223,124.490,10.600,90,165,99.474,125
4,254.078,123.974,13.640,91,158,65.648,124
5,370.264,120.594,11.462,87,161,78.599,122
6,264.930,120.166,15.666,86,186,62.930,119
7,436.656,119.013,12.472,90,165,80.981,119
8,578.378,128.842,15.286,84,178,95.236,130
9,632.002,127.741,19.816,83,192,96.953,128
10,300.361,123.428,21.358,82,181,67.204,120
11,240.991,118.397,18.168,84,183,59.615,117
12,630.726,108.237,16.074,76,163,101.577,106
13,356.539,124.384,16.624,84,177,80.749,124
14,312.809,115.961,11.534,90,168,65.636,115
15,548.693,130.589,16.834,85,203,93.086,130
16,204.284,113.691,10.381,87,144,54.327,113
17,359.731,103.476,13.283,80,151,74.717,101
18,476.555,107.029,12.714,82,147,88.196,106
19,669.029,105.837,11.626,81,141,102.907,105
20,388.139,100.754,10.208,74,139,77.998,101
21,153.532,106.593,15.803,81,171,52.333,104
22,494.749,107.783,10.869,81,157,84.267,108
23,410.482,113.406,13.941,78,158,78.730,114
24,365.795,100.066,11.463,73,139,82.647,100
25,341.856,100.263,11.340,77,133,70.141,99
26,333.557,101.501,11.434,77,138,78.838,102
27,542.628,125.773,12.948,83,168,87.397,127
28,387.500,121.246,10.920,82,172,75.142,121
29,230.138,125.534,12.888,94,158,63.835,126
