 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,515.497,122.637,9.371,97,146,87.449,123
2,320.789,136.017,10.950,102,163,70.820,136
3,498.580,118.366,9.162,92,141,86.581,119
4,557.950,112.134,9.781,90,142,89.894,112
5,457.084,130.218,11.817,101,167,79.334,130
6,264.292,121.604,12.134,95,157,70.367,122
7,480.386,120.134,12.359,87,156,85.400,120
8,343.452,141.541,10.837,111,179,72.182,141
9,651.154,100.833,8.741,78,129,99.450,101
10,349.197,117.610,12.947,89,155,72.069,115
11,281.847,115.029,12.406,86,149,67.836,116
12,398.353,100.674,7.659,80,123,80.759,101
