 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,9050.093,141.487,15.109,92,211,445.597,141
2,6906.681,121.091,14.001,79,192,414.011,121
3,6925.488,137.190,12.326,84,204,399.438,138
4,9157.263,136.653,16.510,82,230,422.058,135
5,14282.047,124.474,11.318,77,185,605.670,125
6,19626.246,125.262,12.833,82,196,793.341,125
7,9617.291,140.402,15.822,84,219,471.808,142
8,10820.945,108.416,21.327,40,197,561.077,110
9,8881.724,115.610,18.169,46,204,472.342,117
10,9961.789,91.098,17.736,37,173,473.410,91
11,9132.187,95.365,17.693,34,191,475.465,96
12,5951.699,97.361,17.432,42,187,318.393,98
13,9228.909,95.937,15.790,40,168,445.797,95
14,13207.356,95.733,19.503,26,199,579.053,96
15,10616.455,108.578,21.413,40,197,566.825,110
16,13930.981,113.591,22.563,34,216,608.059,117
17,17152.666,126.385,18.419,52,209,802.896,128
18,6992.656,125.856,17.742,56,191,404.910,128
19,9235.775,129.339,16.746,66,195,513.830,130
20,7191.176,121.943,18.674,58,196,374.105,124
21,8453.938,103.963,13.619,55,161,466.501,106
22,18078.990,126.521,18.584,52,209,809.033,128
23,25329.572,144.567,14.584,86,216,851.735,145
24,16760.404,140.924,11.888,92,199,608.198,142
25,15203.594,139.019,14.344,87,208,754.930,139
26,14221.745,123.491,11.794,72,168,567.047,124
27,18598.424,140.865,14.374,85,198,651.056,142
28,16810.556,133.035,15.869,75,193,675.256,136
29,7700.460,137.741,13.727,82,186,443.054,139
30,16729.656,133.054,13.285,78,198,727.679,134
31,13826.199,135.975,12.279,81,186,622.360,138
32,14177.264,105.086,12.436,64,181,502.967,104
33,11435.011,116.700,13.394,49,183,473.400,118
34,21234.104,100.882,13.025,58,160,744.686,100
35,16669.652,123.840,15.370,57,188,677.546,126
36,15177.623,117.761,14.140,67,177,684.759,118
37,13606.484,121.912,17.451,61,198,580.826,124
38,15181.802,130.463,16.198,67,199,695.912,131
39,5299.719,137.501,11.504,90,171,340.286,138
40,6921.010,134.500,8.948,96,170,358.014,135
41,9551.914,140.207,9.146,97,172,484.697,140
42,7687.922,116.566,10.842,85,152,381.742,117
