 ,Area,Mean,Min,Max
1,156.41,121.03,17,255
2,166.40,117.76,1,255
3,233.58,122.60,12,255
4,135.38,113.87,40,255
5,139.45,113.05,38,255
6,159.02,118.24,31,255
7,281.84,112.13,23,255
8,287.42,124.72,6,255
9,147.56,108.48,21,255
10,191.12,120.30,19,255
11,259.27,118.20,6,255
12,241.86,117.00,20,255
13,134.99,125.52,16,255
14,191.65,121.38,0,255
15,266.84,119.82,6,255
16,245.65,115.64,10,255
17,183.67,115.84,13,255
18,199.20,116.48,34,255
19,128.26,111.98,25,250
20,137.61,112.85,27,238
21,183.84,118.70,0,255
22,145.14,110.61,20,255
23,245.27,110.73,8,255
24,200.22,107.89,20,255
25,274.03,111.33,18,255
26,248.69,110.29,15,255
27,286.02,113.16,8,255
28,269.11,109.07,16,255
29,192.70,111.85,33,255
30,209.94,111.47,0,255
