 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,15236.432,140.160,11.744,92,189,588.321,141
2,14160.248,132.637,11.863,87,190,644.582,134
3,8237.507,112.350,18.625,69,184,436.921,113
4,8027.046,112.242,20.181,50,168,379.765,115
5,12472.685,119.204,9.889,73,180,572.570,120
6,16447.251,108.760,8.403,54,156,636.252,109
7,6129.918,134.315,11.944,75,188,328.804,137
8,8067.646,118.856,11.863,54,170,412.116,120
9,6876.231,120.164,11.951,60,181,385.720,122
10,8318.407,144.716,12.372,99,181,412.556,148
11,8324.378,143.288,10.262,100,180,469.268,145
12,10206.579,139.171,9.533,87,186,433.361,140
13,7665.532,139.762,9.908,97,210,402.230,141
14,11347.842,145.001,9.516,100,191,641.901,146
15,13862.320,113.145,10.981,64,159,572.867,114
16,13154.218,116.493,9.754,51,161,673.173,118
17,10414.055,124.080,9.408,71,173,514.031,125
18,13841.423,121.089,9.366,76,173,617.360,121
19,6876.231,120.312,13.339,68,162,350.203,121
20,9247.716,115.974,9.378,66,157,451.335,117
21,14660.278,120.341,9.952,73,160,603.232,122
22,12155.054,112.163,11.388,63,161,452.493,112
23,6444.564,114.929,12.580,60,165,402.133,118
24,7920.771,124.415,8.286,84,175,380.704,125
25,5910.801,112.560,8.564,74,157,374.449,113
26,14612.216,105.338,8.696,58,165,634.751,106
27,10584.811,96.973,12.420,49,153,473.917,97
28,9551.316,104.107,13.062,54,157,404.734,106
29,6937.429,111.818,13.073,57,160,377.652,114
30,14372.201,118.348,11.442,56,179,608.775,120
31,14167.114,111.890,10.737,40,164,558.096,113
32,12342.528,105.123,8.319,66,146,596.240,105
33,8294.824,110.114,15.962,68,173,407.047,110
34,8533.644,110.754,14.043,49,159,384.198,112
35,6678.608,112.670,12.461,51,160,369.573,115
