 ,Area,Mean,StdDev,Perim.,Median
1,881.728,103.884,21.475,120.550,102
2,1437.781,102.883,22.544,202.824,101
3,760.768,94.203,18.903,119.976,92
4,1391.523,104.882,23.257,189.616,102
5,1409.237,99.919,23.322,207.433,97
6,1647.960,101.059,24.777,217.613,98
7,1826.262,96.796,25.571,217.346,94
8,3687.696,97.100,23.441,266.935,94
9,3023.762,95.444,23.769,286.240,92
10,1776.020,99.670,22.202,215.314,98
11,1958.643,97.335,21.596,230.701,96
12,1832.673,98.125,24.472,288.409,95
13,1980.361,97.467,20.673,258.691,95
14,1446.440,94.503,23.583,176.127,91
15,1372.784,95.217,21.757,176.035,92
16,1138.223,96.718,23.514,179.560,94
17,868.728,103.368,24.459,144.474,100
18,1034.564,95.991,24.282,152.965,93
19,1413.912,97.061,23.297,174.687,94
20,1559.075,94.576,21.358,172.426,92
21,1076.501,94.675,22.902,130.741,91
22,3319.354,103.222,25.472,340.379,101
23,3034.157,99.403,24.072,277.493,96
24,96956.690,99.921,27.085,8960.000,96
25,2170.400,97.548,24.222,276.258,95
