 ,Area,Mean,StdDev,Perim.,Median
1,1445.403,90.102,23.196,233.978,88
2,1506.691,90.772,21.045,224.779,89
3,1933.104,85.540,22.444,241.680,83
4,1433.227,87.194,22.440,220.992,84
5,1179.008,86.390,24.959,233.485,83
6,1169.615,93.875,23.997,190.753,91
7,1121.408,87.512,25.223,184.900,84
8,1247.806,91.265,23.676,156.276,88
9,1077.417,91.036,23.307,156.328,88
10,745.643,90.603,24.133,138.594,88
11,1257.592,89.944,24.896,196.200,86
12,1515.190,90.525,22.959,201.088,88
13,770.163,93.894,33.503,174.182,88
