 ,Area,Mean,StdDev,Perim.,Median
1,395.489,106.062,29.874,86.513,102
2,767.346,103.832,29.352,139.443,100
3,361.206,104.565,29.724,84.180,101
4,335.197,108.163,30.781,82.021,104
5,672.236,106.146,30.040,127.847,102
6,625.450,108.144,29.906,115.064,105
7,398.529,110.469,30.786,93.580,107
8,321.573,108.102,30.162,97.426,105
9,300.281,106.741,30.659,85.420,102
10,508.979,110.805,32.159,111.191,107
11,463.255,113.162,31.343,101.395,109
12,379.868,111.123,31.406,106.320,107
13,410.447,110.230,31.994,99.972,106
14,439.556,113.602,31.831,83.410,110
15,404.815,111.535,31.907,88.110,107
16,613.902,111.470,31.899,124.779,107
17,808.295,113.063,32.392,165.355,109
18,750.078,112.432,31.734,139.225,109
19,590.056,115.043,32.388,122.856,111
20,1019.711,117.633,33.743,153.388,113
21,556.027,113.961,33.315,112.862,109
22,454.251,115.211,32.324,96.032,111
23,508.033,119.443,34.343,117.371,115
24,583.878,115.261,32.884,110.758,111
25,425.347,113.157,31.574,95.110,109
26,608.075,115.356,33.457,120.325,111
27,1127.695,113.360,32.056,173.901,109
28,392.487,116.967,33.058,78.640,113
29,1055.192,118.059,33.914,165.240,114
30,760.535,113.919,32.991,140.287,110
31,569.329,115.679,33.282,121.468,112
32,536.771,112.571,31.442,116.095,109
33,837.120,118.100,34.089,134.410,114
34,633.451,117.188,33.839,127.283,113
35,733.434,121.922,35.242,150.172,118
36,650.953,123.450,34.736,121.423,119
37,928.956,116.652,33.159,155.527,112
38,411.568,118.457,33.150,79.483,115
39,848.288,120.000,33.645,148.805,116
40,890.230,119.226,34.147,153.389,115
41,767.268,112.917,31.674,140.986,109
