 ,Area,Mean,StdDev,Perim.,Median
1,1132.549,100.076,26.746,168.520,97
2,956.339,102.732,28.502,159.135,99
3,1013.600,107.039,29.230,148.810,104
4,1179.928,109.364,32.770,154.746,105
5,1503.958,101.748,27.729,217.594,99
6,1444.306,103.071,29.530,180.599,99
7,1493.435,105.109,30.283,194.443,101
8,1283.413,98.120,26.638,196.372,95
9,900.294,103.743,28.217,149.167,101
10,812.214,104.836,30.010,139.073,101
11,1326.356,102.187,29.263,170.701,99
12,1699.722,98.712,27.690,219.960,95
13,1341.632,103.239,28.943,213.926,100
14,1067.660,103.988,29.493,146.766,101
15,1736.608,98.850,26.919,263.700,96
16,454.569,108.379,29.832,98.703,105
17,748.807,96.998,27.474,126.113,93
18,936.597,99.233,27.455,134.552,96
19,996.743,99.891,27.086,154.634,97
20,1367.580,99.853,28.332,225.524,96
21,2585.481,99.462,27.503,324.603,96
22,1035.645,94.355,25.129,143.559,92
23,1687.361,99.529,27.544,239.227,96
24,915.392,99.462,27.438,148.880,96
25,1058.391,99.330,29.369,192.278,95
26,766.771,97.459,27.143,124.289,94
27,1465.847,98.600,27.322,183.310,95
28,843.853,96.089,26.566,142.572,93
29,1565.587,96.655,26.870,167.933,94
30,1122.104,98.808,28.578,184.573,95
31,1122.104,98.808,28.578,184.573,95
32,825.949,100.043,28.446,143.281,97
33,1362.402,98.005,26.607,189.188,95
34,919.434,102.027,29.848,153.040,98
35,1280.508,98.941,28.396,189.288,95
36,1496.370,101.220,31.539,186.504,97
