 ,Area,Mean,StdDev,Perim.,Median
1,1380.781,77.552,26.727,171.358,72
2,1612.881,66.315,22.214,187.772,61
3,2757.091,65.379,20.637,291.808,61
4,1652.142,66.863,20.665,182.166,63
5,1616.315,62.883,19.293,165.327,58
6,1653.492,63.887,22.225,186.678,59
7,2395.675,65.197,19.371,205.919,61
8,2168.516,66.826,20.303,213.993,63
9,1172.748,66.036,22.613,154.647,61
10,1606.727,62.165,17.637,189.990,59
11,2610.713,67.429,21.577,270.978,62
12,2648.389,64.919,23.870,232.374,58
13,2959.137,64.903,21.652,231.652,60
14,2104.944,67.122,21.399,229.085,62
15,1152.790,59.476,15.948,170.236,56
16,2097.499,63.341,20.584,223.120,59
17,1436.351,76.326,34.426,234.938,70
18,851.972,64.371,19.594,137.982,60
19,1068.673,74.435,26.505,166.388,68
20,1947.794,70.589,36.994,195.658,60
21,1290.168,69.451,29.749,166.906,61
22,2063.648,68.897,31.180,195.738,61
