 ,Area,Mean,StdDev,Perim.,Median
1,2242.799,103.648,26.534,236.107,99
2,2090.382,94.866,21.334,232.067,91
3,1869.330,100.389,24.071,205.126,96
4,2675.962,99.885,23.988,310.073,96
5,1395.014,94.411,19.577,157.840,92
6,1701.271,98.026,25.250,183.764,93
7,2466.690,97.738,24.799,260.233,93
8,1191.004,96.319,21.296,164.496,93
9,1692.756,97.724,23.652,179.362,93
10,1789.193,96.542,24.633,179.820,91
11,1802.460,98.761,25.853,185.062,94
12,1519.556,95.759,26.824,156.632,90
13,1482.850,96.691,21.480,187.300,93
14,2581.937,96.696,23.834,240.205,92
15,1555.982,94.285,19.711,163.218,91
16,2107.048,94.587,22.536,219.143,91
17,1969.617,97.233,28.361,191.259,91
18,2835.554,96.633,24.497,232.487,92
19,1919.814,98.865,30.319,181.601,93
20,2059.073,94.677,24.535,208.600,90
21,1588.485,89.828,19.495,170.485,87
22,2360.263,95.592,20.864,215.526,92
23,927.435,110.622,53.457,139.040,92
24,1457.145,96.371,26.135,202.179,92
25,994.292,98.040,31.064,146.551,92
