 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,11325.154,116.813,16.613,33,208,582.035,117
2,9565.646,75.088,10.328,31,121,543.807,75
3,8876.948,111.748,16.370,47,203,544.107,112
4,9007.702,119.769,19.757,32,198,468.656,121
5,10459.430,117.383,19.638,25,207,485.221,119
6,15174.936,104.401,21.000,35,199,714.372,107
7,6815.332,111.221,21.030,23,210,376.662,113
8,11281.868,106.184,23.709,31,203,608.590,108
9,9601.469,120.969,16.096,66,215,490.901,122
10,11662.786,123.596,14.568,60,237,564.272,125
11,7888.531,129.103,15.699,65,232,397.776,130
12,11501.582,124.742,14.873,69,249,534.699,125
13,22755.985,118.247,15.231,64,191,878.122,118
14,15040.898,110.998,12.883,60,212,647.250,111
15,12586.423,109.172,15.799,60,175,577.972,110
16,13947.997,103.324,11.763,65,151,643.450,103
17,7529.405,165.962,12.376,117,223,438.276,166
18,10243.000,161.005,11.462,111,239,585.842,160
19,7440.743,166.004,12.362,117,222,445.056,166
20,8909.487,166.628,13.760,117,243,564.291,166
21,14451.609,162.984,14.727,108,255,695.186,162
22,7148.188,160.729,13.609,114,255,404.273,160
23,10973.491,160.705,11.664,111,239,591.713,160
24,5699.445,139.128,14.580,81,232,379.067,139
25,7081.617,137.409,14.923,78,245,401.183,138
26,11471.133,135.734,16.708,72,222,549.953,137
27,6164.249,123.887,19.711,59,198,435.725,124
28,9206.221,121.350,18.546,64,182,496.674,123
29,6992.358,126.895,18.049,66,194,430.824,128
30,12094.453,138.966,14.499,69,203,617.488,139
31,12233.268,136.346,16.768,74,218,601.220,138
32,8449.161,132.361,17.552,70,202,505.738,135
33,10957.669,139.552,11.194,102,205,585.499,139
34,12905.845,137.725,11.157,95,217,611.900,138
