 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,787.037,106.851,12.741,68,150,114.382,108
2,537.037,110.347,13.695,65,154,88.607,111
3,348.457,113.596,14.762,77,163,68.736,113
4,637.963,115.427,14.602,61,147,102.252,118
5,722.222,110.299,12.492,71,149,126.623,111
6,487.654,112.593,13.549,71,151,92.051,114
7,351.852,156.716,10.946,117,203,71.048,156
8,667.901,147.419,8.759,118,190,100.159,147
9,638.580,134.055,8.690,114,175,100.459,133
10,755.247,147.421,8.695,121,184,120.087,148
11,1070.679,124.071,6.593,103,144,138.286,125
12,416.975,156.321,11.400,117,203,77.728,155
13,703.395,139.918,7.738,118,164,108.543,140
14,644.444,142.721,8.042,116,167,112.158,143
15,543.827,123.440,7.458,99,145,99.224,124
16,441.358,139.406,11.472,105,169,87.717,141
17,620.679,140.574,9.909,99,173,117.316,141
18,480.556,126.765,11.524,89,164,98.242,126
19,578.704,132.459,11.688,94,160,104.405,134
20,792.901,131.178,10.185,101,171,125.675,132
21,339.506,135.380,12.030,97,167,73.143,138
22,887.963,136.155,14.060,93,181,123.059,135
23,751.543,93.522,8.242,72,123,125.248,93
24,595.062,103.610,9.339,77,135,95.902,104
25,745.370,126.802,10.326,92,164,114.533,128
26,705.864,123.092,10.799,79,160,122.330,124
27,752.071,138.174,15.969,92,207,108.293,137
28,732.444,133.888,10.120,99,189,110.563,134
29,353.138,129.521,12.498,101,190,87.755,128
30,660.622,131.486,11.851,100,196,111.389,130
31,744.107,119.921,11.168,82,189,109.322,120
32,655.716,122.941,12.160,93,214,100.388,122
33,849.209,127.910,11.644,95,192,128.129,127
34,664.249,123.726,12.750,93,214,101.477,122
35,839.253,140.210,10.896,103,196,120.718,140
36,296.533,129.141,13.001,93,179,73.048,129
