 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,912.346,113.277,17.703,56,175,119.367,114
2,722.531,116.674,11.382,82,163,104.819,117
3,628.086,135.495,21.953,73,213,110.355,137
4,894.136,113.768,17.577,64,175,123.265,114
5,627.469,116.918,20.897,58,197,100.957,115
6,1126.543,129.101,21.444,43,202,140.035,131
7,606.481,126.719,9.091,100,155,96.987,126
8,762.654,121.300,14.450,87,172,106.313,122
9,1226.235,132.670,7.567,110,160,162.992,133
10,828.704,105.797,6.512,81,143,122.523,105
11,951.235,114.758,7.143,90,134,126.237,115
12,554.630,142.470,11.723,103,180,98.453,144
13,1028.086,147.475,12.865,110,181,130.209,148
14,555.556,138.954,10.771,105,170,87.225,140
15,844.444,150.134,12.018,111,181,130.590,151
16,680.864,149.019,13.068,108,195,100.374,151
17,857.407,123.113,10.191,94,155,132.923,123
18,1222.531,125.222,11.261,90,167,148.118,126
19,853.704,129.204,8.064,102,159,124.010,130
20,811.111,121.019,8.763,95,159,115.660,121
21,758.642,119.707,8.676,95,153,116.868,119
22,600.617,118.157,7.297,97,151,96.079,118
23,524.691,126.624,7.790,108,149,88.574,125
24,883.025,127.383,8.807,106,155,119.311,128
25,982.407,112.933,9.696,82,154,118.302,113
26,1561.420,104.635,10.619,65,145,156.126,105
27,743.210,103.733,13.916,66,171,106.059,102
28,902.778,117.174,14.367,77,183,119.620,115
29,1363.889,131.854,16.289,78,194,157.073,132
30,1018.827,116.070,13.734,64,162,122.385,117
31,586.420,134.433,15.041,95,184,96.881,133
32,1259.259,120.875,18.402,83,191,136.654,120
33,751.852,144.987,14.686,103,199,109.716,146
34,1120.988,137.356,11.105,109,173,135.963,137
35,1242.901,141.746,16.073,101,211,135.381,141
36,1312.037,118.839,13.781,89,166,141.330,119
