 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,6573.825,119.581,18.114,56,199,411.130,120
2,7946.146,127.012,23.327,58,219,415.601,132
3,8500.209,132.788,15.479,81,213,439.981,133
4,4029.196,85.734,16.848,50,145,265.471,85
5,4640.576,142.042,24.111,72,219,342.048,143
6,10676.458,98.017,24.021,27,227,481.520,98
7,8216.908,82.579,26.709,34,214,396.155,76
8,9451.609,119.769,30.158,27,241,462.187,121
9,6245.746,118.601,29.251,35,254,355.971,121
10,11087.528,114.475,27.943,26,234,493.398,115
11,8754.553,119.430,30.417,27,241,450.816,120
12,6325.751,99.062,26.590,25,234,409.612,100
13,9796.704,115.359,24.704,33,255,519.691,117
14,10450.176,103.676,24.926,24,233,580.020,104
15,12820.168,124.006,26.585,41,249,726.105,123
16,9837.005,123.111,25.482,43,252,475.743,123
17,9437.280,113.024,21.825,46,236,436.491,112
18,11527.554,114.436,23.209,38,224,541.049,115
19,11157.681,100.405,23.306,46,233,485.041,97
20,10878.858,116.491,24.413,45,239,494.596,117
21,15736.163,117.187,25.578,47,250,686.354,117
22,15465.102,118.839,23.450,43,239,649.993,119
23,4605.350,134.584,22.371,59,238,334.911,135
24,9088.901,128.333,19.785,62,227,524.041,129
25,5714.968,132.311,20.579,64,209,357.864,133
26,10936.772,130.072,17.812,57,232,564.731,131
27,7125.799,135.488,24.372,69,241,369.777,135
28,6767.270,151.595,30.930,57,255,434.325,153
29,4182.638,136.480,27.555,64,230,374.575,137
30,10421.518,133.249,26.320,51,233,531.055,133
