 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,647.004,144.796,10.670,117,179,95.044,144
2,854.480,150.981,9.663,129,181,112.558,150
3,696.798,158.331,15.108,123,216,100.912,160
4,737.974,158.442,12.674,129,216,100.388,158
5,1136.327,154.503,11.406,128,212,122.032,153
6,954.707,151.729,9.859,127,186,121.235,151
7,1179.738,152.499,7.666,131,179,136.264,152
8,631.364,155.413,8.414,133,183,98.416,156
9,1063.871,156.584,10.760,125,189,122.122,157
10,1282.518,155.334,8.941,131,188,144.826,155
11,592.422,153.959,6.743,135,174,95.803,154
12,1207.188,157.520,13.503,129,207,129.089,156
13,643.493,162.094,9.030,137,191,97.705,161
14,1194.421,162.376,9.651,137,190,133.525,162
15,980.242,162.633,11.769,132,204,122.195,161
16,1221.871,159.785,11.006,133,215,129.055,159
17,867.248,160.156,10.925,130,192,112.490,160
18,751.061,146.992,10.518,126,184,105.358,145
19,1048.868,156.667,11.361,127,201,137.970,156
20,1251.556,154.948,11.658,124,210,148.622,154
21,1252.514,154.551,10.423,129,194,133.327,154
22,853.841,154.507,8.261,130,192,116.270,154
23,666.475,152.908,9.669,129,202,100.002,153
24,1000.989,153.248,10.446,124,197,120.399,152
25,1064.509,151.436,11.860,124,212,121.850,149
26,795.748,149.418,10.903,121,189,116.832,148
27,949.599,148.880,10.574,125,184,115.180,147
28,1293.370,148.000,12.013,116,192,133.958,148
29,908.424,150.567,10.998,119,194,111.675,150
30,925.341,145.785,13.847,108,201,114.439,145
