 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1994.536,102.018,8.695,73,153,166.659,100
2,1737.138,111.324,12.484,61,174,183.877,111
3,1580.444,129.631,17.168,78,208,185.143,129
4,1955.194,100.406,9.290,62,182,178.961,99
5,1851.727,102.895,10.757,68,169,215.434,102
6,2531.578,114.611,15.660,63,199,209.968,113
7,473.962,110.168,9.651,78,152,84.340,110
8,969.199,110.669,10.410,65,152,118.043,111
9,537.789,110.529,14.366,53,157,92.575,112
10,1144.182,95.436,8.704,66,131,138.913,95
11,1012.870,104.822,8.999,75,142,152.713,104
12,1140.822,102.757,9.988,66,141,149.877,103
13,2367.867,135.089,8.214,100,171,213.071,135
14,1113.351,132.091,7.870,100,165,129.065,133
15,2190.570,122.572,7.180,93,166,194.778,123
16,1669.802,138.943,7.374,106,172,164.234,139
17,1915.256,145.998,10.088,111,207,181.269,146
18,2098.376,122.747,7.088,91,150,192.389,123
19,1205.023,103.122,12.358,55,153,137.389,103
20,1926.528,101.855,12.967,42,154,175.771,103
21,1955.493,102.738,10.969,52,148,172.442,103
22,1998.119,103.987,16.993,46,161,185.075,103
23,2005.285,97.208,14.688,43,172,190.999,98
24,2647.063,90.021,12.331,50,140,213.895,90
25,1739.302,120.872,11.256,76,167,172.445,121
26,1869.345,108.642,9.267,75,161,174.095,109
27,1413.300,110.316,8.308,81,147,145.775,110
28,1882.260,99.512,9.228,61,139,166.009,99
29,1598.734,96.748,6.467,68,129,170.061,97
30,2149.362,103.200,8.765,77,151,187.512,103
31,2508.574,110.965,11.367,57,173,200.790,111
32,2396.722,106.713,12.200,51,154,217.776,107
33,2032.814,119.968,11.877,86,175,190.351,120
34,2113.013,113.302,9.900,71,175,192.839,112
35,1903.555,103.239,7.751,70,138,166.973,103
36,1599.063,101.908,10.928,43,144,154.677,102
