 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,365.197,118.444,7.615,92,134,72.816,119
2,769.688,123.686,7.720,102,147,112.774,123
3,677.563,106.720,5.881,86,121,98.482,106
4,795.113,123.647,7.490,102,142,108.651,124
5,1013.373,136.852,8.950,101,157,120.423,137
6,934.786,151.815,6.925,128,167,111.421,153
7,639.260,149.279,7.461,127,164,94.451,150
8,498.266,138.911,10.368,113,162,83.674,139
9,910.352,123.153,8.918,101,143,110.277,123
10,726.432,116.756,9.671,87,136,101.761,118
11,681.195,106.209,6.909,90,128,103.610,105
12,954.268,142.231,9.956,112,165,114.056,143
13,323.923,156.267,5.672,138,170,67.055,157
14,521.710,159.099,9.393,122,176,87.354,159
15,538.881,165.194,6.558,137,179,91.551,166
16,712.894,145.678,9.563,125,167,107.132,147
17,768.037,148.583,8.150,126,166,118.418,149
18,420.340,152.134,6.801,127,168,78.827,152
19,713.555,142.049,8.485,120,162,104.934,142
20,701.998,126.001,6.139,110,144,98.789,126
21,376.424,133.184,8.082,113,150,75.433,133
22,482.747,139.690,8.266,111,161,84.173,139
23,462.605,144.981,7.095,129,164,84.842,145
24,848.605,154.720,12.628,116,179,111.378,158
25,430.576,110.767,7.233,93,130,77.022,110
26,605.580,122.875,9.659,93,144,90.450,123
27,352.650,141.292,8.607,108,159,73.129,142
28,596.665,138.584,7.130,109,154,96.693,140
29,595.674,125.688,5.935,105,138,89.894,126
30,833.416,127.702,10.104,104,151,107.303,128
