 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,527.307,123.456,11.278,91,172,89.784,124
2,978.646,103.796,10.453,76,159,116.679,103
3,584.123,106.175,11.404,75,152,90.052,106
4,308.660,114.280,13.280,74,148,67.453,116
5,443.678,100.375,10.090,72,129,79.596,101
6,198.538,118.325,14.968,85,157,55.398,119
7,515.816,121.644,15.110,83,170,91.185,122
8,479.109,91.776,8.936,71,126,81.933,91
9,928.533,95.679,9.522,70,125,112.182,97
10,362.923,114.784,11.465,83,155,75.568,114
11,553.162,113.024,11.203,85,154,97.717,113
12,506.559,113.709,10.176,82,142,82.644,114
13,565.929,116.024,12.663,85,161,91.851,117
14,277.379,122.993,16.587,89,171,66.190,121
15,363.242,118.211,18.032,79,166,76.970,118
16,508.475,110.405,17.081,74,166,95.054,108
17,528.584,125.130,19.035,76,183,86.955,126
18,454.850,102.930,10.311,71,138,82.372,101
19,582.847,95.043,10.374,71,134,97.138,94
20,397.715,102.085,13.053,72,139,78.541,101
21,453.254,102.954,10.839,76,141,84.467,102
22,404.098,104.546,13.379,76,149,77.484,104
23,318.236,122.162,13.077,81,160,72.557,124
24,428.357,113.556,11.188,86,159,82.710,113
25,382.713,95.788,10.351,70,131,73.653,96
