 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,14436.981,126.537,16.281,64,178,644.069,127
2,12278.345,104.120,17.960,55,167,579.812,104
3,9290.107,114.865,19.405,52,184,414.193,115
4,6217.386,83.931,14.964,50,142,357.952,82
5,14699.684,128.419,16.224,64,194,522.579,129
6,13966.804,126.601,16.200,64,181,645.608,127
7,6797.719,131.849,13.221,82,186,359.928,133
8,10313.750,119.812,16.373,62,180,489.744,119
9,7198.937,136.479,16.950,60,187,418.856,139
10,10486.895,130.576,13.416,63,182,445.199,132
11,6430.832,130.251,15.239,67,186,343.261,132
12,3445.280,120.186,14.276,61,178,261.062,121
13,7015.046,123.374,16.776,70,181,348.327,124
14,10190.758,121.812,12.027,62,161,401.986,123
15,10974.387,121.942,14.345,61,167,420.502,124
16,2623.142,121.254,12.760,67,166,248.463,122
17,4158.457,130.918,13.210,79,185,303.877,132
18,5790.495,123.522,18.680,49,184,316.979,126
19,12353.275,131.285,13.604,72,198,508.703,132
20,4360.260,131.215,13.199,79,185,302.029,132
21,7927.936,120.067,14.444,58,168,425.669,122
22,22654.785,124.547,15.461,50,192,864.861,127
23,13335.423,116.285,15.685,40,167,499.282,120
24,16713.535,105.703,15.891,38,168,623.076,108
25,14774.016,101.730,15.529,33,141,659.273,104
26,9840.886,103.685,13.507,47,143,457.975,107
27,12278.345,124.719,15.062,47,187,559.656,127
28,15341.214,118.546,18.396,45,176,619.724,122
29,9466.535,114.003,16.522,48,162,438.891,118
30,23841.423,89.090,17.325,27,156,863.982,90
31,12708.520,134.223,15.754,68,176,506.259,136
32,14724.760,144.711,16.576,71,196,609.757,147
33,15731.387,128.256,15.285,66,167,611.808,130
34,6275.897,124.624,17.572,64,170,358.106,130
35,15717.356,121.611,17.584,58,184,602.520,124
36,11453.818,130.141,19.453,73,190,552.438,130
37,13204.669,124.602,17.638,63,174,578.787,125
38,15790.495,114.467,14.550,70,159,607.720,115
39,8235.716,130.572,15.197,76,169,411.471,134
40,12733.298,117.022,16.237,68,166,520.352,118
41,14562.063,130.538,14.173,82,171,581.789,130
42,8050.630,131.674,13.845,67,180,403.042,134
43,12676.578,127.697,12.068,74,167,537.934,128
44,10875.873,134.402,10.957,88,191,479.350,135
45,20628.396,108.452,13.423,67,149,746.813,107
46,16830.856,102.167,14.012,56,144,610.749,101
47,11564.870,89.742,8.384,57,120,492.520,90
48,12898.979,90.078,7.674,55,117,518.688,90
49,14844.468,124.506,17.961,63,172,596.732,126
