 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,710.524,118.254,17.110,71,179,106.834,119
2,548.693,117.559,13.990,79,151,87.628,119
3,311.852,115.429,17.018,75,177,69.573,115
4,483.897,107.695,12.817,81,154,90.055,107
5,526.669,123.819,15.303,83,172,95.831,125
6,569.760,109.070,12.185,76,147,92.548,110
7,702.544,102.448,13.001,67,160,107.672,103
8,688.180,96.949,11.176,69,129,107.013,96
9,645.089,119.655,17.157,80,172,98.818,121
10,450.381,112.559,17.973,76,197,79.459,110
11,613.808,120.789,16.513,80,172,98.398,122
12,292.381,130.158,13.829,91,181,68.459,131
13,449.424,107.540,13.466,74,151,80.333,107
14,413.674,118.871,14.734,75,171,77.608,118
