 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,886.560,135.836,11.322,111,159,117.084,136
2,691.272,144.365,10.377,107,164,103.050,145
3,640.210,142.533,11.181,114,169,97.262,141
4,897.608,154.189,8.529,126,177,110.686,154
5,923.885,135.400,11.638,106,159,117.404,135
6,435.964,143.891,10.059,113,167,83.167,145
7,568.246,113.943,8.283,95,137,91.083,113
8,412.076,148.600,10.453,118,174,77.793,148
9,817.880,160.957,10.218,123,181,110.924,163
10,542.566,159.125,7.955,137,182,90.065,159
11,537.490,180.394,9.700,144,199,97.818,181
12,630.356,192.176,7.755,161,212,97.658,193
13,624.086,193.911,7.407,171,208,107.286,195
14,400.430,119.822,8.479,100,140,80.259,119
15,897.310,117.415,8.074,97,137,113.401,118
16,664.994,103.352,4.983,91,118,97.792,103
17,637.224,103.043,5.946,88,122,93.763,103
18,535.997,95.796,5.627,81,109,90.182,96
19,828.332,105.815,6.858,78,122,117.635,107
20,397.743,107.961,5.911,92,126,79.760,108
21,782.645,104.943,4.409,91,115,107.950,105
22,442.235,145.429,9.382,117,163,81.281,146
